molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value
CHEMBL2181714,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCNC1,17000.0,nM,4.77
CHEMBL2181713,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCNC1,10000.0,nM,5.0
CHEMBL2181712,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCNCC1,22000.0,nM,4.66
CHEMBL2181711,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCNCC1,15000.0,nM,4.82
CHEMBL2181710,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCOCC1,11000.0,nM,4.96
CHEMBL2181709,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCOCC1,4200.0,nM,5.38
CHEMBL2181708,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCNCC1,17000.0,nM,4.77
CHEMBL2181707,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCNCC1,12000.0,nM,4.92
CHEMBL2181706,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCCCC1,1200.0,nM,5.92
CHEMBL2181705,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCCC1,1800.0,nM,5.75
CHEMBL2181704,CCN(C1CCCC1)S(=O)(=O)c1cc(-c2c(C)noc2C)ccc1OC,1300.0,nM,5.89
CHEMBL2181703,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N(C)C1CCCC1,1000.0,nM,6.0
CHEMBL2181702,CCNS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1C,2400.0,nM,5.62
CHEMBL2181701,Cc1ccc(-c2c(C)noc2C)cc1S(N)(=O)=O,7400.0,nM,5.13
CHEMBL2181742,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC(C)(C)C,2000.0,nM,5.7
CHEMBL2181741,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCCCO,6500.0,nM,5.19
CHEMBL2181740,COCCNS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1C,13000.0,nM,4.89
CHEMBL2181739,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCCCc1ccccc1,3300.0,nM,5.48
CHEMBL2181738,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCCc1ccccc1,4400.0,nM,5.36
CHEMBL2181737,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCc1ccccc1,20000.0,nM,4.7
CHEMBL2181736,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCc1ccccc1,6600.0,nM,5.18
CHEMBL2181735,COc1ccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2OC)cc1,16000.0,nM,4.8
CHEMBL2181734,COc1ccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2C)cc1,5600.0,nM,5.25
CHEMBL2181733,COc1cccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2OC)c1,6000.0,nM,5.22
CHEMBL2181732,COc1cccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2C)c1,2600.0,nM,5.58
CHEMBL2181731,COc1ccccc1NS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1OC,8200.0,nM,5.09
CHEMBL2181730,COc1ccccc1NS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1C,2800.0,nM,5.55
CHEMBL2181729,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccc(Cl)cc1,4500.0,nM,5.35
CHEMBL2181728,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1cccc(Cl)c1,3300.0,nM,5.48
CHEMBL2181727,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1Cl,7600.0,nM,5.12
CHEMBL2181726,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1Cl,3000.0,nM,5.52
CHEMBL2181725,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1,5600.0,nM,5.25
CHEMBL2181724,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1,1800.0,nM,5.75
CHEMBL2181723,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCCC1,1100.0,nM,5.96
CHEMBL2181722,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1,2200.0,nM,5.66
CHEMBL2181721,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1,500.0,nM,6.3
CHEMBL2181720,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CC1,3000.0,nM,5.52
CHEMBL2181719,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CC1,1000.0,nM,6.0
CHEMBL2335153,CC(=O)Oc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,371.54,nM,6.43
CHEMBL2335154,Cc1noc(C)c1-c1cc(O)cc([C@@H](O)c2ccccc2)c1,380.19,nM,6.42
CHEMBL2335144,COCCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,1380.0,nM,5.86
CHEMBL2331593,COc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,1360.0,nM,5.87
CHEMBL2335145,Cc1noc(C)c1-c1cc(OCCO)cc(C(O)c2ccccc2)c1,1170.0,nM,5.93
CHEMBL2335146,Cc1noc(C)c1-c1cc(O)cc(C(=O)c2ccccc2)c1,544.0,nM,6.26
CHEMBL2335147,Cc1noc(C)c1-c1cc(O)cc([C@H](O)c2ccccc2)c1,386.0,nM,6.41
CHEMBL2335148,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2cccc(Cl)c2)c1,3900.0,nM,5.41
CHEMBL2335150,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccc(Cl)cc2)c1,2600.0,nM,5.58
CHEMBL2335149,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2cccc(F)c2)c1,1700.0,nM,5.77
CHEMBL2335151,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccc(F)cc2)c1,1500.0,nM,5.82
CHEMBL2335152,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,640.0,nM,6.19
CHEMBL2335155,Cc1noc(C)c1-c1ccc2ncn(Cc3ccc(C#N)cc3)c2c1,180.0,nM,6.75
CHEMBL2349340,Cc1[nH]nc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2CC(=O)OC(C)(C)C,360.0,nM,6.44
CHEMBL2349462,CCCC(=O)Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1,790.0,nM,6.1
CHEMBL2349363,O=C(CCc1ccccc1)Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1,570.0,nM,6.24
CHEMBL2349362,O=C(CCC1CCCCC1)Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1,2200.0,nM,5.66
CHEMBL2349361,O=C(Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1)c1cccs1,230.0,nM,6.64
CHEMBL2349359,O=C(Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1)C1CCCC1,2500.0,nM,5.6
CHEMBL2349358,CCCC(=O)Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1,2400.0,nM,5.62
CHEMBL2349357,O=C(CCc1ccccc1)Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1,2600.0,nM,5.58
CHEMBL2349356,O=C(Cc1ccccc1)Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1,3500.0,nM,5.46
CHEMBL2349355,Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1,2600.0,nM,5.58
CHEMBL2349354,O=c1[nH]c(-c2ccc(NS(=O)(=O)c3cccs3)c(O)c2)cs1,3300.0,nM,5.48
CHEMBL2346691,O=c1[nH]c(-c2cccc(NCCc3ccccc3)c2)cs1,22800.0,nM,4.64
CHEMBL2349351,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccnc3)c2)cs1,10000.0,nM,5.0
CHEMBL2349350,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)cs1,3700.0,nM,5.43
CHEMBL2349349,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccs3)c2)cs1,4100.0,nM,5.39
CHEMBL2349347,O=c1[nH]c(-c2cccc(NS(=O)(=O)Cc3ccccc3)c2)cs1,4100.0,nM,5.39
CHEMBL2349346,COc1ccc(S(=O)(=O)Nc2cccc(-c3csc(=O)[nH]3)c2)cc1,4400.0,nM,5.36
CHEMBL2349345,Nc1cc(N)cc(-c2csc(=O)[nH]2)c1,50700.0,nM,4.29
CHEMBL2349344,Nc1ccc(-c2csc(=O)[nH]2)cc1O,23800.0,nM,4.62
CHEMBL2349343,Nc1ccc(-c2csc(=O)[nH]2)cc1,51000.0,nM,4.29
CHEMBL2349342,Nc1cccc(-c2csc(=O)[nH]2)c1,42000.0,nM,4.38
CHEMBL2349341,O=c1[nH]c(-c2cccc(Cl)c2)cs1,24000.0,nM,4.62
