zinc_id,smiles,predicted_pIC50,max_train_similarity,in_domain,rank
101094384,Cc1n[nH]c(C)c1Nc1cnn(C23C[C@@H]4CC(C[C@H](C4)C2)[C@@H]3C(=O)O)c(=O)c1Cl,8.554669380187988,0.18556701030927836,False,38
245232073,Cc1n[nH]c(C)c1Nc1cnn(C23C[C@@H]4CC(C[C@H](C4)C2)[C@H]3C(=O)O)c(=O)c1Cl,8.554669380187988,0.18556701030927836,False,39
82092294,CC(C)NS(=O)(=O)c1ccc2c(c1)nc(-c1cc(C(C)(C)C)[nH]n1)n2C(C)C,8.537068367004395,0.19047619047619047,False,40
2382309396,COC(=O)[C@@]1(Cc2cscn2)C[C@H]2CC[C@@H]1N2C(=O)c1ccc(OC)c(C)c1,8.530548095703125,0.23809523809523808,False,41
82092385,CC(C)NS(=O)(=O)c1ccc2c(c1)nc(-c1ccc(-c3cc[nH]n3)o1)n2C(C)C,8.525603294372559,0.18181818181818182,False,42
12447412,CN(Cc1nccn1C)Cc1cnc(S(=O)(=O)CC2CC2)n1CC1CCCCC1,8.525341987609863,0.22857142857142856,False,43
12078151,Cc1cnc(-n2ncc(C(=O)NCC3(C)COC3)c2C(C)C)nc1-c1ccc(F)cc1,8.52099895477295,0.28865979381443296,False,44
11936557,CN(Cc1ccco1)Cc1cnc(S(=O)(=O)CC2CC2)n1CC1CCCCC1,8.517578125,0.22772277227722773,False,45
12302466,Cc1cc(CN(C)Cc2cnc(S(=O)(=O)CC3CC3)n2CC2CCCCC2)n[nH]1,8.51595687866211,0.26262626262626265,False,46
1704312347,Cc1onc(-c2c(Cl)cccc2Cl)c1CN1C[C@]2(C(=O)O)C[C@]2(C(=O)O)C1,8.507892608642578,0.24444444444444444,False,47
18172596,COC(=O)c1ccccc1NC(=O)C12C[C@@H]3C[C@H](C1)CC(n1cnc(Cl)n1)(C3)C2,8.501920700073242,0.2289156626506024,False,48
15067157,Cc1ccc(CN(C)Cc2cnc(S(=O)(=O)CC3CC3)n2CC2CCCCC2)o1,8.498188972473145,0.24,False,49
55254905,COCCn1c(CN2CCC[C@H]2c2ccccn2)cnc1S(=O)(=O)CC(C)(C)C,8.489094734191895,0.27884615384615385,False,50
55254902,COCCn1c(CN2CCC[C@@H]2c2ccccn2)cnc1S(=O)(=O)CC(C)(C)C,8.489094734191895,0.27884615384615385,False,51
2100482528,Cc1sc(NC(=O)Cc2cnc(O)nc2O)nc1C12CC3CC(CC(C3)C1)C2,8.487547874450684,0.16853932584269662,False,52
40913827,CC1(C)Oc2ncnc(N)c2N=C1c1ccc(C23CCC(CC(=O)O)(CC2)CC3)cc1,8.484086990356445,0.2087912087912088,False,53
952983382,C[C@H](O)c1nc2ccc(NC(=O)C34C[C@@H]5C[C@H](C3)CC(n3cncn3)(C5)C4)cc2[nH]1,8.482808113098145,0.1834862385321101,False,54
952983385,C[C@@H](O)c1nc2ccc(NC(=O)C34C[C@@H]5C[C@H](C3)CC(n3cncn3)(C5)C4)cc2[nH]1,8.482808113098145,0.1834862385321101,False,55
82097428,CC(C)Cc1cc(-c2nc3cc(S(=O)(=O)NC(C)C)ccc3n2C(C)C)n[nH]1,8.48221206665039,0.1958762886597938,False,56
4117406,CC(C)n1c2ccccc2c2nnc(SCC(=O)Nc3ccc(Cl)cn3)nc21,8.478550910949707,0.24705882352941178,False,57
1772712513,COc1ccc(CN(Cc2cnc(C(=O)O)cn2)C2CCCC2)c(OC)c1OC,8.473876953125,0.24242424242424243,False,58
827676611,Cc1nc(-c2ccc(NC(=O)C34C[C@@H]5C[C@H](C3)CC(n3cncn3)(C5)C4)cc2)n[nH]1,8.473243713378906,0.17894736842105263,False,59
12217937,Cc1cc(CNC(=O)c2cnn(-c3ncc(C)c(-c4cccs4)n3)c2C2CC2)on1,8.468985557556152,0.24778761061946902,False,60
12303184,CN(Cc1ccn[nH]1)Cc1cnc(S(=O)(=O)CC2CC2)n1CC1CCCCC1,8.468587875366211,0.24,False,61
1772706491,COc1cc(CN(Cc2cnc(C(=O)O)cn2)C2CCCC2)cc(OC)c1OC,8.466590881347656,0.24742268041237114,False,62
1119507,Cc1cccc(N2C(=O)N(c3ccc(Cl)c(Cl)c3)[C@@H]3CS(=O)(=O)C[C@@H]32)c1,8.463502883911133,0.2753623188405797,False,63
